Time,Open,High,Low,Close,Volume
2005-12-01T06:00:00+0000,58.8,60.0,58.31,59.84,27634
2005-12-02T06:00:00+0000,59.69,60.76,59.5,60.76,29231
2005-12-05T06:00:00+0000,60.9,62.4,60.9,61.49,24563
2005-12-06T06:00:00+0000,61.49,61.9,61.03,61.44,16382
2005-12-07T06:00:00+0000,61.5,62.06,60.75,60.8,34744
2005-12-08T06:00:00+0000,60.88,62.3,60.6,62.29,30544
2005-12-09T06:00:00+0000,62.5,63.06,60.6,61.04,31022
2005-12-12T06:00:00+0000,61.32,62.86,61.18,62.86,26694
2005-12-13T06:00:00+0000,62.8,63.45,62.25,62.89,33173
2005-12-14T06:00:00+0000,62.72,63.25,62.5,62.52,26442
2005-12-15T06:00:00+0000,62.55,63.05,61.7,61.78,21905
2005-12-16T06:00:00+0000,61.78,61.79,59.65,59.76,25770
2005-12-19T06:00:00+0000,59.5,60.2,58.5,58.71,19580
2005-12-20T06:00:00+0000,58.77,59.26,58.5,58.69,35338
2005-12-21T06:00:00+0000,58.75,59.3,58.1,59.14,38365
2005-12-22T06:00:00+0000,59.2,59.82,58.41,58.86,22132
2005-12-23T06:00:00+0000,58.88,59.05,58.25,59.0,13606
2005-12-27T06:00:00+0000,58.77,58.81,57.95,58.68,19040
2005-12-28T06:00:00+0000,58.7,60.88,58.34,60.36,28606
2005-12-29T06:00:00+0000,60.34,61.45,59.95,60.92,33286
2005-12-30T06:00:00+0000,60.9,62.0,60.37,61.9,46646
2006-01-03T06:00:00+0000,61.91,64.55,61.68,63.99,66712
2006-01-04T06:00:00+0000,63.83,64.4,63.03,64.2,67856
2006-01-05T06:00:00+0000,64.2,64.49,63.3,63.59,70368
2006-01-06T06:00:00+0000,63.55,65.2,63.4,64.97,72737
2006-01-09T06:00:00+0000,64.82,65.39,63.75,64.35,91289
2006-01-10T06:00:00+0000,64.1,65.01,63.86,64.1,107748
2006-01-11T06:00:00+0000,64.0,65.15,63.25,64.45,138029
2006-01-12T06:00:00+0000,64.45,65.45,64.37,64.49,92805
2006-01-13T06:00:00+0000,64.55,64.89,63.73,64.58,100312
2006-01-17T06:00:00+0000,65.25,67.0,65.25,66.94,113394
2006-01-18T06:00:00+0000,67.0,67.5,65.75,66.25,133628
2006-01-19T06:00:00+0000,66.33,67.25,65.8,67.19,115971
2006-01-20T06:00:00+0000,67.12,69.15,67.12,68.48,149990
2006-01-23T06:00:00+0000,68.45,69.2,67.6,68.1,84184
2006-01-24T06:00:00+0000,68.1,68.11,67.0,67.06,100194
2006-01-25T06:00:00+0000,67.1,67.1,65.45,65.85,138328
2006-01-26T06:00:00+0000,65.85,66.9,65.31,66.26,124697
2006-01-27T06:00:00+0000,66.49,67.95,66.35,67.76,112320
2006-01-30T06:00:00+0000,67.85,68.45,67.25,68.35,92440
2006-01-31T06:00:00+0000,68.4,68.65,67.35,67.92,118865
2006-02-01T06:00:00+0000,67.8,69.0,66.3,66.56,140025
2006-02-02T06:00:00+0000,66.2,67.19,64.4,64.68,150155
2006-02-03T06:00:00+0000,64.7,65.4,63.95,65.37,110816
2006-02-06T06:00:00+0000,65.6,66.62,64.9,65.11,97538
2006-02-07T06:00:00+0000,65.1,65.1,63.0,63.09,145683
2006-02-08T06:00:00+0000,63.19,63.49,62.3,62.55,150436
2006-02-09T06:00:00+0000,62.57,63.7,62.34,62.62,133578
2006-02-10T06:00:00+0000,62.64,63.0,61.2,61.84,146060
2006-02-13T06:00:00+0000,62.1,62.18,60.85,61.24,91961
2006-02-14T06:00:00+0000,61.18,61.3,59.5,59.57,132021
2006-02-15T06:00:00+0000,59.49,60.05,57.6,57.65,136092
2006-02-16T06:00:00+0000,57.7,58.64,57.55,58.46,93510
2006-02-17T06:00:00+0000,58.8,60.0,58.68,59.88,95548
2006-02-21T06:00:00+0000,61.25,61.5,60.5,61.1,0
