Time,Open,High,Low,Close,Volume
2012-06-04T05:00:00+0000,83.9,84.94,81.87,84.56,37586
2012-06-05T05:00:00+0000,84.66,85.47,83.92,84.83,32592
2012-06-06T05:00:00+0000,84.7,86.8,84.7,85.64,48212
2012-06-07T05:00:00+0000,86.16,87.62,84.11,85.44,47829
2012-06-08T05:00:00+0000,84.33,85.21,82.63,84.69,58336
2012-06-11T05:00:00+0000,86.33,87.23,81.73,83.29,51902
2012-06-12T05:00:00+0000,81.7,84.27,81.7,83.89,50378
2012-06-13T05:00:00+0000,84.02,84.51,82.72,83.19,50984
2012-06-14T05:00:00+0000,83.0,84.97,82.86,84.5,46530
2012-06-15T05:00:00+0000,84.85,85.37,84.03,84.63,35961
2012-06-18T05:00:00+0000,85.4,86.15,82.68,83.93,37016
2012-06-19T05:00:00+0000,83.72,85.05,82.92,84.68,35357
2012-06-20T05:00:00+0000,84.67,85.05,81.28,81.84,76204
2012-06-21T05:00:00+0000,81.57,81.61,78.28,78.56,79144
2012-06-22T05:00:00+0000,78.37,80.73,77.92,80.14,50442
2012-06-25T05:00:00+0000,80.47,81.03,78.42,79.62,54026
2012-06-26T05:00:00+0000,79.51,80.06,78.77,79.77,51965
2012-06-27T05:00:00+0000,79.89,81.27,79.09,80.61,53659
2012-06-28T05:00:00+0000,80.9,81.22,77.7,78.1,61777
2012-06-29T05:00:00+0000,78.91,85.74,78.69,85.37,103185
2012-07-02T05:00:00+0000,85.18,85.42,82.5,84.15,81454
2012-07-03T05:00:00+0000,84.05,88.42,83.75,88.03,87072
2012-07-05T05:00:00+0000,87.5,89.33,86.87,87.57,94357
2012-07-06T05:00:00+0000,87.0,87.43,84.4,84.83,74352
2012-07-09T05:00:00+0000,84.58,86.84,84.51,86.37,82177
2012-07-10T05:00:00+0000,86.13,86.3,84.05,84.3,74833
2012-07-11T05:00:00+0000,84.19,86.87,84.19,86.19,73622
2012-07-12T05:00:00+0000,86.44,86.73,84.6,86.46,90511
2012-07-13T05:00:00+0000,86.33,88.0,85.95,87.5,112043
2012-07-16T05:00:00+0000,87.52,88.87,86.81,88.81,112131
2012-07-17T05:00:00+0000,88.75,89.8,87.79,89.54,149326
2012-07-18T05:00:00+0000,89.49,90.36,88.91,90.17,152538
2012-07-19T05:00:00+0000,90.35,93.25,90.16,92.97,288797
2012-07-20T05:00:00+0000,92.59,92.63,90.92,91.83,249172
2012-07-23T05:00:00+0000,91.61,91.64,87.91,88.14,290355
2012-07-24T05:00:00+0000,88.05,89.09,87.43,88.5,309865
2012-07-25T05:00:00+0000,88.2,89.36,86.84,88.97,289552
2012-07-26T05:00:00+0000,89.1,90.47,88.07,89.39,233400
2012-07-27T05:00:00+0000,89.43,90.45,89.13,90.13,210412
2012-07-30T05:00:00+0000,90.14,90.95,89.33,89.78,191095
2012-07-31T05:00:00+0000,89.67,90.3,87.31,88.06,282851
2012-08-01T05:00:00+0000,88.03,89.47,87.51,88.91,281204
2012-08-02T05:00:00+0000,88.87,89.63,86.92,87.13,302698
2012-08-03T05:00:00+0000,87.26,91.74,87.23,91.4,301783
2012-08-06T05:00:00+0000,91.34,92.33,90.63,92.2,194374
2012-08-07T05:00:00+0000,92.05,94.42,91.78,93.67,260012
2012-08-08T05:00:00+0000,93.41,94.72,92.82,93.35,269931
2012-08-09T05:00:00+0000,93.43,94.21,93.07,93.36,258637
2012-08-10T05:00:00+0000,93.46,93.87,91.71,92.87,224512
2012-08-13T05:00:00+0000,93.25,94.14,92.05,92.73,280268
2012-08-14T05:00:00+0000,92.71,93.92,92.56,93.43,200411
2012-08-15T05:00:00+0000,93.25,94.9,92.68,94.33,281643
2012-08-16T05:00:00+0000,94.21,95.75,93.93,95.6,212628
2012-08-17T05:00:00+0000,95.23,96.28,94.98,96.01,162591
2012-08-20T05:00:00+0000,96.36,96.53,95.02,95.97,113309
2012-08-21T05:00:00+0000,95.97,97.6,95.81,96.68,24538
