Time,Open,High,Low,Close,Volume,index
2016-03-02T06:00:00+0000,4344.5,4346.75,4344.5,4346.75,7,2016-03-02T06:00:00+0000
2016-03-02T07:00:00+0000,4345.25,4345.25,4331.0,4331.0,28,2016-03-02T07:00:00+0000
2016-03-02T08:00:00+0000,4327.5,4338.25,4327.0,4338.25,10,2016-03-02T08:00:00+0000
2016-03-02T09:00:00+0000,4334.0,4334.5,4332.0,4332.0,5,2016-03-02T09:00:00+0000
2016-03-02T10:00:00+0000,4322.0,4322.0,4322.0,4322.0,4,2016-03-02T10:00:00+0000
2016-03-02T11:00:00+0000,4317.5,4325.25,4317.5,4325.25,14,2016-03-02T11:00:00+0000
2016-03-02T12:00:00+0000,4320.0,4324.5,4320.0,4324.5,27,2016-03-02T12:00:00+0000
2016-03-02T13:00:00+0000,4322.25,4322.25,4317.0,4318.0,4,2016-03-02T13:00:00+0000
2016-03-02T14:00:00+0000,4318.5,4321.5,4303.5,4303.5,49,2016-03-02T14:00:00+0000
2016-03-02T15:00:00+0000,4312.0,4322.5,4300.25,4309.0,44,2016-03-02T15:00:00+0000
2016-03-02T16:00:00+0000,4319.5,4319.5,4294.0,4294.0,54,2016-03-02T16:00:00+0000
2016-03-02T17:00:00+0000,4293.0,4300.25,4290.75,4300.0,17,2016-03-02T17:00:00+0000
2016-03-02T18:00:00+0000,4300.0,4307.5,4299.5,4307.5,6,2016-03-02T18:00:00+0000
2016-03-02T19:00:00+0000,4300.25,4315.25,4290.5,4311.0,28,2016-03-02T19:00:00+0000
2016-03-02T20:00:00+0000,4315.0,4323.5,4307.75,4323.5,37,2016-03-02T20:00:00+0000
2016-03-02T21:00:00+0000,4324.25,4324.25,4317.0,4318.0,9,2016-03-02T21:00:00+0000
2016-03-02T23:00:00+0000,4311.0,4311.0,4310.75,4310.75,2,2016-03-02T23:00:00+0000
2016-03-03T00:00:00+0000,4309.75,4309.75,4309.75,4309.75,1,2016-03-03T00:00:00+0000
2016-03-03T01:00:00+0000,4322.5,4328.75,4322.5,4328.25,18,2016-03-03T01:00:00+0000
2016-03-03T02:00:00+0000,4328.0,4328.0,4319.5,4319.5,6,2016-03-03T02:00:00+0000
2016-03-03T03:00:00+0000,4328.75,4329.0,4328.75,4329.0,2,2016-03-03T03:00:00+0000
2016-03-03T04:00:00+0000,4329.0,4331.5,4328.75,4331.5,14,2016-03-03T04:00:00+0000
2016-03-03T05:00:00+0000,4332.0,4334.5,4332.0,4334.5,24,2016-03-03T05:00:00+0000
2016-03-03T06:00:00+0000,4334.0,4335.0,4326.75,4326.75,6,2016-03-03T06:00:00+0000
2016-03-03T07:00:00+0000,4321.75,4321.75,4321.75,4321.75,10,2016-03-03T07:00:00+0000
2016-03-03T08:00:00+0000,4316.25,4316.25,4315.75,4315.75,3,2016-03-03T08:00:00+0000
2016-03-03T09:00:00+0000,4321.75,4321.75,4321.75,4321.75,2,2016-03-03T09:00:00+0000
2016-03-03T10:00:00+0000,4327.75,4327.75,4327.75,4327.75,1,2016-03-03T10:00:00+0000
2016-03-03T11:00:00+0000,4328.5,4330.5,4319.75,4320.5,24,2016-03-03T11:00:00+0000
2016-03-03T12:00:00+0000,4320.75,4320.75,4317.5,4319.5,5,2016-03-03T12:00:00+0000
2016-03-03T13:00:00+0000,4318.0,4319.0,4318.0,4318.5,3,2016-03-03T13:00:00+0000
2016-03-03T14:00:00+0000,4319.25,4319.25,4305.0,4305.0,39,2016-03-03T14:00:00+0000
2016-03-03T15:00:00+0000,4306.75,4310.5,4296.75,4308.75,111,2016-03-03T15:00:00+0000
2016-03-03T16:00:00+0000,4305.0,4305.0,4285.0,4294.25,57,2016-03-03T16:00:00+0000
2016-03-03T17:00:00+0000,4295.0,4298.75,4290.5,4293.0,43,2016-03-03T17:00:00+0000
2016-03-03T18:00:00+0000,4299.25,4311.5,4299.25,4311.5,25,2016-03-03T18:00:00+0000
2016-03-03T19:00:00+0000,4307.5,4314.25,4305.0,4314.25,13,2016-03-03T19:00:00+0000
2016-03-03T20:00:00+0000,4311.5,4316.75,4307.0,4313.5,46,2016-03-03T20:00:00+0000
2016-03-03T21:00:00+0000,4310.75,4312.25,4310.0,4312.25,4,2016-03-03T21:00:00+0000
2016-03-03T23:00:00+0000,4311.0,4311.0,4311.0,4311.0,1,2016-03-03T23:00:00+0000
2016-03-04T00:00:00+0000,4313.0,4313.0,4310.25,4310.25,3,2016-03-04T00:00:00+0000
2016-03-04T01:00:00+0000,4312.5,4312.5,4312.5,4312.5,1,2016-03-04T01:00:00+0000
2016-03-04T02:00:00+0000,4314.0,4315.5,4314.0,4315.0,3,2016-03-04T02:00:00+0000
2016-03-04T03:00:00+0000,4317.5,4319.0,4317.5,4319.0,3,2016-03-04T03:00:00+0000
2016-03-04T04:00:00+0000,4313.5,4313.5,4313.5,4313.5,1,2016-03-04T04:00:00+0000
2016-03-04T05:00:00+0000,4312.75,4312.75,4309.75,4309.75,5,2016-03-04T05:00:00+0000
2016-03-04T06:00:00+0000,4311.25,4311.25,4310.5,4310.5,4,2016-03-04T06:00:00+0000
2016-03-04T07:00:00+0000,4317.5,4317.75,4316.75,4316.75,20,2016-03-04T07:00:00+0000
2016-03-04T08:00:00+0000,4315.5,4315.5,4308.25,4309.75,21,2016-03-04T08:00:00+0000
2016-03-04T09:00:00+0000,4308.75,4308.75,4306.25,4306.25,2,2016-03-04T09:00:00+0000
2016-03-04T10:00:00+0000,4312.25,4312.5,4312.25,4312.5,11,2016-03-04T10:00:00+0000
2016-03-04T11:00:00+0000,4316.75,4325.0,4316.75,4325.0,10,2016-03-04T11:00:00+0000
2016-03-04T12:00:00+0000,4324.5,4330.75,4322.0,4330.75,22,2016-03-04T12:00:00+0000
2016-03-04T13:00:00+0000,4327.25,4343.5,4315.5,4315.5,160,2016-03-04T13:00:00+0000
2016-03-04T14:00:00+0000,4310.25,4323.5,4289.75,4295.75,121,2016-03-04T14:00:00+0000
2016-03-04T15:00:00+0000,4299.25,4318.25,4293.25,4314.5,100,2016-03-04T15:00:00+0000
2016-03-04T16:00:00+0000,4316.5,4331.25,4316.5,4326.25,67,2016-03-04T16:00:00+0000
2016-03-04T17:00:00+0000,4326.25,4331.75,4320.75,4331.75,128,2016-03-04T17:00:00+0000
2016-03-04T18:00:00+0000,4329.0,4345.75,4326.75,4343.0,133,2016-03-04T18:00:00+0000
2016-03-04T19:00:00+0000,4341.5,4343.0,4308.0,4310.5,44,2016-03-04T19:00:00+0000
2016-03-04T20:00:00+0000,4308.0,4323.25,4305.0,4317.75,62,2016-03-04T20:00:00+0000
2016-03-04T21:00:00+0000,4318.5,4318.5,4308.75,4310.5,16,2016-03-04T21:00:00+0000
2016-03-06T23:00:00+0000,4308.25,4311.5,4302.25,4306.5,34,2016-03-06T23:00:00+0000
2016-03-07T00:00:00+0000,4304.75,4306.0,4302.0,4303.0,11,2016-03-07T00:00:00+0000
2016-03-07T01:00:00+0000,4304.0,4311.0,4301.5,4311.0,12,2016-03-07T01:00:00+0000
2016-03-07T02:00:00+0000,4310.0,4310.75,4300.0,4300.0,8,2016-03-07T02:00:00+0000
2016-03-07T03:00:00+0000,4303.0,4304.0,4302.75,4304.0,3,2016-03-07T03:00:00+0000
2016-03-07T04:00:00+0000,4306.0,4306.0,4306.0,4306.0,7,2016-03-07T04:00:00+0000
2016-03-07T05:00:00+0000,4302.0,4302.0,4302.0,4302.0,5,2016-03-07T05:00:00+0000
2016-03-07T06:00:00+0000,4302.0,4302.0,4302.0,4302.0,1,2016-03-07T06:00:00+0000
2016-03-07T07:00:00+0000,4307.75,4307.75,4299.75,4301.25,25,2016-03-07T07:00:00+0000
2016-03-07T08:00:00+0000,4301.5,4312.5,4294.0,4294.0,11,2016-03-07T08:00:00+0000
2016-03-07T09:00:00+0000,4299.0,4307.0,4292.25,4292.25,36,2016-03-07T09:00:00+0000
2016-03-07T10:00:00+0000,4293.75,4293.75,4287.5,4288.25,38,2016-03-07T10:00:00+0000
2016-03-07T11:00:00+0000,4291.5,4295.25,4290.75,4291.0,17,2016-03-07T11:00:00+0000
2016-03-07T12:00:00+0000,4293.25,4298.5,4293.25,4298.5,24,2016-03-07T12:00:00+0000
2016-03-07T13:00:00+0000,4300.0,4300.0,4290.0,4291.0,105,2016-03-07T13:00:00+0000
2016-03-07T14:00:00+0000,4294.25,4302.5,4280.75,4283.5,450,2016-03-07T14:00:00+0000
2016-03-07T15:00:00+0000,4280.25,4295.25,4277.5,4290.75,271,2016-03-07T15:00:00+0000
2016-03-07T16:00:00+0000,4292.75,4321.0,4287.75,4310.25,292,2016-03-07T16:00:00+0000
2016-03-07T17:00:00+0000,4309.5,4315.25,4305.0,4309.75,152,2016-03-07T17:00:00+0000
2016-03-07T18:00:00+0000,4310.0,4314.0,4284.0,4286.25,233,2016-03-07T18:00:00+0000
2016-03-07T19:00:00+0000,4288.75,4288.75,4264.0,4270.25,225,2016-03-07T19:00:00+0000
2016-03-07T20:00:00+0000,4267.25,4297.75,4261.25,4290.25,260,2016-03-07T20:00:00+0000
2016-03-07T21:00:00+0000,4292.5,4297.0,4291.0,4292.5,57,2016-03-07T21:00:00+0000
2016-03-07T23:00:00+0000,4291.0,4293.25,4291.0,4293.25,3,2016-03-07T23:00:00+0000
2016-03-08T00:00:00+0000,4290.0,4290.0,4281.0,4282.0,36,2016-03-08T00:00:00+0000
2016-03-08T01:00:00+0000,4278.0,4278.75,4268.5,4268.5,21,2016-03-08T01:00:00+0000
2016-03-08T02:00:00+0000,4267.75,4268.75,4262.5,4266.25,120,2016-03-08T02:00:00+0000
2016-03-08T03:00:00+0000,4265.0,4268.0,4262.75,4265.0,33,2016-03-08T03:00:00+0000
2016-03-08T04:00:00+0000,4263.75,4277.75,4263.75,4277.5,26,2016-03-08T04:00:00+0000
2016-03-08T05:00:00+0000,4274.25,4278.0,4274.25,4278.0,12,2016-03-08T05:00:00+0000
2016-03-08T06:00:00+0000,4272.25,4273.0,4267.75,4271.0,11,2016-03-08T06:00:00+0000
2016-03-08T07:00:00+0000,4273.75,4273.75,4262.0,4264.75,18,2016-03-08T07:00:00+0000
2016-03-08T08:00:00+0000,4260.25,4260.5,4250.0,4254.25,50,2016-03-08T08:00:00+0000
2016-03-08T09:00:00+0000,4257.5,4259.75,4252.0,4252.0,10,2016-03-08T09:00:00+0000
2016-03-08T10:00:00+0000,4250.0,4251.0,4243.5,4249.5,17,2016-03-08T10:00:00+0000
2016-03-08T11:00:00+0000,4249.0,4259.0,4248.0,4255.75,20,2016-03-08T11:00:00+0000
2016-03-08T12:00:00+0000,4268.0,4274.75,4268.0,4274.75,26,2016-03-08T12:00:00+0000
2016-03-08T13:00:00+0000,4271.0,4278.5,4266.25,4277.75,110,2016-03-08T13:00:00+0000
2016-03-08T14:00:00+0000,4269.75,4284.25,4250.0,4273.5,1704,2016-03-08T14:00:00+0000
2016-03-08T15:00:00+0000,4272.75,4282.5,4255.5,4265.75,946,2016-03-08T15:00:00+0000
2016-03-08T16:00:00+0000,4267.75,4288.25,4264.5,4285.5,317,2016-03-08T16:00:00+0000
2016-03-08T17:00:00+0000,4285.0,4297.5,4281.0,4284.25,336,2016-03-08T17:00:00+0000
2016-03-08T18:00:00+0000,4286.0,4299.0,4279.0,4293.75,132,2016-03-08T18:00:00+0000
2016-03-08T19:00:00+0000,4292.5,4295.0,4272.0,4276.0,203,2016-03-08T19:00:00+0000
2016-03-08T20:00:00+0000,4275.25,4275.5,4248.25,4255.5,465,2016-03-08T20:00:00+0000
2016-03-08T21:00:00+0000,4254.0,4265.0,4253.0,4264.0,121,2016-03-08T21:00:00+0000
2016-03-08T23:00:00+0000,4261.25,4264.5,4257.5,4257.5,11,2016-03-08T23:00:00+0000
2016-03-09T00:00:00+0000,4258.25,4262.0,4254.75,4258.5,9,2016-03-09T00:00:00+0000
2016-03-09T01:00:00+0000,4261.0,4265.25,4258.0,4262.5,142,2016-03-09T01:00:00+0000
2016-03-09T02:00:00+0000,4263.0,4263.0,4260.25,4261.25,6,2016-03-09T02:00:00+0000
2016-03-09T03:00:00+0000,4261.25,4263.25,4260.5,4263.25,7,2016-03-09T03:00:00+0000
2016-03-09T04:00:00+0000,4264.0,4267.25,4263.75,4265.25,9,2016-03-09T04:00:00+0000
2016-03-09T05:00:00+0000,4265.75,4272.75,4265.75,4271.75,46,2016-03-09T05:00:00+0000
